study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	experiment_alias	sample_alias
PRJNA352475	SAMN06350159	SRS1992767	SRX2577938	SRR5273955	2543_t0	CA_C10032MS2543SA_t0M15
PRJNA352475	SAMN06350158	SRS1992766	SRX2577939	SRR5273956	2559_t5	CA_C10032IS2559FE_t5M16
PRJNA352475	SAMN06350157	SRS1992768	SRX2577940	SRR5273957	2559_t4	CA_C10032IS2559FE_t4M15
PRJNA352475	SAMN06350156	SRS1992769	SRX2577941	SRR5273958	2549_t1	CA_C10032IS2549SA_t1M15
PRJNA352475	SAMN06350155	SRS1992771	SRX2577942	SRR5273959	2555_t3	CA_C10032IS2555FE_t3M15
PRJNA352475	SAMN06350154	SRS1992770	SRX2577943	SRR5273960	2552_t2	CA_C10032IS2552SA_t2M15
PRJNA352475	SAMN06350153	SRS1992772	SRX2577944	SRR5273961	2551_t2	CA_C10032IS2551FE_t2M15
PRJNA352475	SAMN06350152	SRS1992773	SRX2577945	SRR5273962	2548_t1	CA_C10032IS2548FE_t1M15
PRJNA352475	SAMN06350151	SRS1992776	SRX2577946	SRR5273963	2541_t5	CA_C10031IS2541FE_t5M16
PRJNA352475	SAMN06350150	SRS1992775	SRX2577947	SRR5273964	2530_t1	CA_C10031IS2530FE_t1M15
PRJNA352475	SAMN06350149	SRS1992774	SRX2577948	SRR5273965	2541_t4	CA_C10031IS2541FE_t4M15
PRJNA352475	SAMN06350148	SRS1992777	SRX2577949	SRR5273966	2537_t3	CA_C10031IS2537FE_t3M15
PRJNA352475	SAMN06350147	SRS1992779	SRX2577950	SRR5273967	2526_t0	CA_C10031MS2526FE_t0M15
PRJNA352475	SAMN06350146	SRS1992778	SRX2577951	SRR5273968	2528_t0	CA_C10031MS2528SK_t0M15
PRJNA352475	SAMN06350145	SRS1992780	SRX2577952	SRR5273969	2527_t0	CA_C10031MS2527VA_t0M15
PRJNA352475	SAMN06350144	SRS1992781	SRX2577953	SRR5273970	2525_t0	CA_C10031MS2525SA_t0M15
PRJNA352475	SAMN06350143	SRS1992783	SRX2577954	SRR5273971	2534_t2	CA_C10031IS2534SA_t2M15
PRJNA352475	SAMN06350142	SRS1992782	SRX2577955	SRR5273972	2531_t1	CA_C10031IS2531SA_t1M15
PRJNA352475	SAMN06350141	SRS1992785	SRX2577956	SRR5273973	2497_t1	CA_C10029IS2497SA_t1M15
PRJNA352475	SAMN06350140	SRS1992784	SRX2577957	SRR5273974	2503_t3	CA_C10029IS2503FE_t3M15
PRJNA352475	SAMN06350139	SRS1992786	SRX2577958	SRR5273975	2492_t0	CA_C10029MS2492FE_t0M15
PRJNA352475	SAMN06350138	SRS1992787	SRX2577959	SRR5273976	2499_t2	CA_C10029IS2499FE_t2M15
PRJNA352475	SAMN06350137	SRS1992788	SRX2577960	SRR5273977	2496_t1	CA_C10029IS2496FE_t1M15
PRJNA352475	SAMN06350136	SRS1992789	SRX2577961	SRR5273978	2494_t0	CA_C10029MS2494SK_t0M15
PRJNA352475	SAMN06350135	SRS1992790	SRX2577962	SRR5273979	2493_t0	CA_C10029MS2493VA_t0M16
PRJNA352475	SAMN06350134	SRS1992791	SRX2577963	SRR5273980	2491_t0	CA_C10029MS2491SA_t0M15
PRJNA352475	SAMN06350133	SRS1992792	SRX2577964	SRR5273981	2500_t2	CA_C10029IS2500SA_t2M15
PRJNA352475	SAMN06350132	SRS1992793	SRX2577965	SRR5273982	2465_t4	CA_C10026IS2465FE_t4M16
PRJNA352475	SAMN06350131	SRS1992794	SRX2577966	SRR5273983	2441_t0	CA_C10026MS2441VA_t0M15
PRJNA352475	SAMN06350130	SRS1992795	SRX2577967	SRR5273984	2440_t0	CA_C10026MS2440FE_t0M15
PRJNA352475	SAMN06350129	SRS1992796	SRX2577968	SRR5273985	2439_t0	CA_C10026MS2439SA_t0M15
PRJNA352475	SAMN06350128	SRS1992797	SRX2577969	SRR5273986	2451_t3	CA_C10026IS2451FE_t3M15
PRJNA352475	SAMN06350127	SRS1992798	SRX2577970	SRR5273987	2449_t2	CA_C10026IS2449FE_t2M15
PRJNA352475	SAMN06350126	SRS1992799	SRX2577971	SRR5273988	2444_t1	CA_C10026IS2444FE_t1M15
PRJNA352475	SAMN06350125	SRS1992800	SRX2577972	SRR5273989	2419_t5	CA_C10024IS2419FE_t5M16
PRJNA352475	SAMN06350124	SRS1992801	SRX2577973	SRR5273990	2419_t4	CA_C10024IS2419FE_t4M15
PRJNA352475	SAMN06350123	SRS1992802	SRX2577974	SRR5273991	2405_t0	CA_C10024MS2405VA_t0M15
PRJNA352475	SAMN06350122	SRS1992803	SRX2577975	SRR5273992	2403_t0	CA_C10024MS2403SA_t0M15
PRJNA352475	SAMN06350121	SRS1992804	SRX2577976	SRR5273993	2415_t3	CA_C10024IS2415FE_t3M15
PRJNA352475	SAMN06350120	SRS1992805	SRX2577977	SRR5273994	2412_t2	CA_C10024IS2412SA_t2M15
PRJNA352475	SAMN06350119	SRS1992806	SRX2577978	SRR5273995	2411_t2	CA_C10024IS2411FE_t2M15
PRJNA352475	SAMN06350118	SRS1992807	SRX2577979	SRR5273996	2408_t1	CA_C10024IS2408FE_t1M15
PRJNA352475	SAMN06350117	SRS1992808	SRX2577980	SRR5273997	2401_t5	CA_C10023IS2401FE_t5M16
PRJNA352475	SAMN06350116	SRS1992809	SRX2577981	SRR5273998	2401_t4	CA_C10023IS2401FE_t4M16
PRJNA352475	SAMN06350115	SRS1992810	SRX2577982	SRR5273999	2397_t3	CA_C10023IS2397FE_t3M15
PRJNA352475	SAMN06350114	SRS1992811	SRX2577983	SRR5274000	2386_t0	CA_C10023MS2386FE_t0M15
PRJNA352475	SAMN06350113	SRS1992812	SRX2577984	SRR5274001	2394_t2	CA_C10023IS2394SA_t2M15
PRJNA352475	SAMN06350112	SRS1992813	SRX2577985	SRR5274002	2387_t0	CA_C10023MS2387VA_t0M15
PRJNA352475	SAMN06350111	SRS1992814	SRX2577986	SRR5274003	2385_t0	CA_C10023MS2385SA_t0M15
PRJNA352475	SAMN06350110	SRS1992815	SRX2577987	SRR5274004	2393_t2	CA_C10023IS2393FE_t2M15
PRJNA352475	SAMN06350109	SRS1992816	SRX2577988	SRR5274005	2390_t1	CA_C10023IS2390FE_t1M15
PRJNA352475	SAMN06350108	SRS1992817	SRX2577989	SRR5274006	2345_t5	CA_C10020IS2345FE_t5M16
PRJNA352475	SAMN06350107	SRS1992818	SRX2577990	SRR5274007	2347_t4	CA_C10020IS2347FE_t4M15
PRJNA352475	SAMN06350106	SRS1992819	SRX2577991	SRR5274008	2337_t1	CA_C10020IS2337SA_t1M15
PRJNA352475	SAMN06350105	SRS1992820	SRX2577992	SRR5274009	2331_t0	CA_C10020MS2331SA_t0M15
PRJNA352475	SAMN06350104	SRS1992821	SRX2577993	SRR5274010	2332_t0	CA_C10020MS2332FE_t0M15
PRJNA352475	SAMN06350103	SRS1992822	SRX2577994	SRR5274011	2343_t3	CA_C10020IS2343FE_t3M15
PRJNA352475	SAMN06350102	SRS1992823	SRX2577995	SRR5274012	2339_t2	CA_C10020IS2339FE_t2M15
PRJNA352475	SAMN06350101	SRS1992824	SRX2577996	SRR5274013	2336_t1	CA_C10020IS2336FE_t1M15
PRJNA352475	SAMN06350100	SRS1992825	SRX2577997	SRR5274014	2329_t5	CA_C10019IS2329FE_t5M16
PRJNA352475	SAMN06350099	SRS1992826	SRX2577998	SRR5274015	2314_t0	CA_C10019MS2314FE_t0M16
PRJNA352475	SAMN06350098	SRS1992827	SRX2577999	SRR5274016	2316_t0	CA_C10019MS2316SK_t0M15
PRJNA352475	SAMN06350097	SRS1992828	SRX2578000	SRR5274017	2313_t0	CA_C10019MS2313SA_t0M15
PRJNA352475	SAMN06350096	SRS1992829	SRX2578001	SRR5274018	2352_t3	CA_C10019IS2352FE_t3M15
PRJNA352475	SAMN06350095	SRS1992830	SRX2578002	SRR5274019	2329_t4	CA_C10019IS2329FE_t4M15
PRJNA352475	SAMN06350094	SRS1992831	SRX2578003	SRR5274020	2322_t2	CA_C10019IS2322SA_t2M15
PRJNA352475	SAMN06350093	SRS1992832	SRX2578004	SRR5274021	2321_t2	CA_C10019IS2321FE_t2M15
PRJNA352475	SAMN06350092	SRS1992833	SRX2578005	SRR5274022	2318_t1	CA_C10019IS2318FE_t1M15
PRJNA352475	SAMN06350091	SRS1992834	SRX2578006	SRR5274023	2242_t0	CA_C10015MS2242FE_t0M15
PRJNA352475	SAMN06350090	SRS1992835	SRX2578007	SRR5274024	2241_t0	CA_C10015MS2241SA_t0M15
PRJNA352475	SAMN06350089	SRS1992836	SRX2578008	SRR5274025	2250_t2	CA_C10015IS2250SA_t2M15
PRJNA352475	SAMN06350088	SRS1992837	SRX2578009	SRR5274026	2249_t2	CA_C10015IS2249FE_t2M15
PRJNA352475	SAMN06350087	SRS1992838	SRX2578010	SRR5274027	2247_t1	CA_C10015IS2247SA_t1M15
PRJNA352475	SAMN06350086	SRS1992839	SRX2578011	SRR5274028	2246_t1	CA_C10015IS2246FE_t1M15
PRJNA352475	SAMN06350085	SRS1992840	SRX2578012	SRR5274029	2235_t3	CA_C10015IS2235FE_t3M15
PRJNA352475	SAMN06350084	SRS1992841	SRX2578013	SRR5274030	2136_t0	CA_C10009MS2136SK_t0M15
PRJNA352475	SAMN06350083	SRS1992842	SRX2578014	SRR5274031	2135_t0	CA_C10009MS2135VA_t0M15
PRJNA352475	SAMN06350082	SRS1992843	SRX2578015	SRR5274032	2134_t0	CA_C10009MS2134FE_t0M15
PRJNA352475	SAMN06350081	SRS1992844	SRX2578016	SRR5274033	2133_t0	CA_C10009MS2133SA_t0M15
PRJNA352475	SAMN06350080	SRS1992845	SRX2578017	SRR5274034	2149_t5	CA_C10009IS2149FE_t5M16
PRJNA352475	SAMN06350079	SRS1992846	SRX2578018	SRR5274035	2145_t3	CA_C10009IS2145FE_t3M16
PRJNA352475	SAMN06350078	SRS1992847	SRX2578019	SRR5274036	2149_t4	CA_C10009IS2149FE_t4M15
PRJNA352475	SAMN06350077	SRS1992848	SRX2578020	SRR5274037	2142_t2	CA_C10009IS2142SA_t2M15
