study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	experiment_alias	sample_alias	sample_title
PRJNA475246	SAMN09382479	SRS3395937	SRX4184558	SRR7280844	EDIA300105	G102222	M0072-Child:Birth
PRJNA475246	SAMN09382480	SRS3395938	SRX4184557	SRR7280845	EDIA300199	G102223	M0072-Child:14 days
PRJNA475246	SAMN09382485	SRS3395936	SRX4184556	SRR7280846	EDIA300198	G102220	M0072-Mother:Birth
PRJNA475246	SAMN09382486	SRS3395934	SRX4184555	SRR7280847	EDIA300203	G102221	M0072-Mother:3 months
PRJNA475246	SAMN09382483	SRS3395935	SRX4184554	SRR7280848	EDIA300202	G102226	M0072-Child:3 months
PRJNA475246	SAMN09382484	SRS3395933	SRX4184553	SRR7280849	EDIA300049	G102219	M0072-Mother:Gest
PRJNA475246	SAMN09382507	SRS3395931	SRX4184552	SRR7280850	EDIA300022	G102242	M0084-Mother:Gest
PRJNA475246	SAMN09382508	SRS3395932	SRX4184551	SRR7280851	EDIA300070	G102243	M0084-Mother:Birth
PRJNA475246	SAMN09382668	SRS3395930	SRX4184550	SRR7280852	EDIA300320	G102314	M0487-Mother:Gest
PRJNA475246	SAMN09382500	SRS3395929	SRX4184549	SRR7280853	EDIA300145	G102237	M0074-Mother:3 months
PRJNA475246	SAMN09382501	SRS3395928	SRX4184548	SRR7280854	EDIA300146	G102236	M0074-Mother:Birth
PRJNA475246	SAMN09382502	SRS3395927	SRX4184547	SRR7280855	EDIA300071	G102245	M0084-Child:Birth
PRJNA475246	SAMN09382503	SRS3395926	SRX4184546	SRR7280856	EDIA300147	G102246	M0084-Child:14 days
PRJNA475246	SAMN09382504	SRS3395925	SRX4184545	SRR7280857	EDIA300148	G102247	M0084-Child:1 month
PRJNA475246	SAMN09382667	SRS3395924	SRX4184544	SRR7280858	EDIA301178	G102321	M0487-Child:3 months
PRJNA475246	SAMN09382506	SRS3395923	SRX4184543	SRR7280859	EDIA300151	G102249	M0084-Child:3 months
PRJNA475246	SAMN09382688	SRS3395922	SRX4184542	SRR7280860	EDIA301416	G104621	M0764-Mother:Birth
PRJNA475246	SAMN09382687	SRS3395920	SRX4184541	SRR7280861	EDIA301665	G104622	M0764-Mother:3 months
PRJNA475246	SAMN09382664	SRS3395921	SRX4184540	SRR7280862	EDIA301175	G102318	M0487-Child:14 days
PRJNA475246	SAMN09382680	SRS3395918	SRX4184539	SRR7280863	EDIA301564	G104653	M0744-Mother:3 months
PRJNA475246	SAMN09382679	SRS3395917	SRX4184538	SRR7280864	EDIA301565	G104655	M0744-Child:14 days
PRJNA475246	SAMN09382665	SRS3395919	SRX4184537	SRR7280865	EDIA301176	G102319	M0487-Child:1 month
PRJNA475246	SAMN09382681	SRS3395916	SRX4184536	SRR7280866	EDIA301563	G104652	M0744-Mother:Birth
PRJNA475246	SAMN09382684	SRS3395915	SRX4184535	SRR7280867	EDIA301664	G104625	M0764-Child:2 months
PRJNA475246	SAMN09382683	SRS3395913	SRX4184534	SRR7280868	EDIA301662	G104624	M0764-Child:1 month
PRJNA475246	SAMN09382686	SRS3395912	SRX4184533	SRR7280869	EDIA301415	G104623	M0764-Child:Birth
PRJNA475246	SAMN09382685	SRS3395914	SRX4184532	SRR7280870	EDIA301663	G104626	M0764-Child:3 months
PRJNA475246	SAMN09382585	SRS3395911	SRX4184531	SRR7280871	EDIA301003	G102279	M0327-Child:1 month
PRJNA475246	SAMN09382586	SRS3395910	SRX4184530	SRR7280872	EDIA301004	G102280	M0327-Child:2 months
PRJNA475246	SAMN09382583	SRS3395909	SRX4184529	SRR7280873	EDIA300317	G102277	M0327-Child:Birth
PRJNA475246	SAMN09382584	SRS3395908	SRX4184528	SRR7280874	EDIA301002	G102278	M0327-Child:14 days
PRJNA475246	SAMN09382581	SRS3395907	SRX4184527	SRR7280875	EDIA300512	G102331	M0305-Mother:Birth
PRJNA475246	SAMN09382582	SRS3395906	SRX4184526	SRR7280876	EDIA300513	G102332	M0305-Mother:3 months
PRJNA475246	SAMN09382579	SRS3395905	SRX4184525	SRR7280877	EDIA300510	G102336	M0305-Child:2 months
PRJNA475246	SAMN09382580	SRS3395904	SRX4184524	SRR7280878	EDIA300206	G102330	M0305-Mother:Gest
PRJNA475246	SAMN09382535	SRS3395903	SRX4184523	SRR7280879	EDIA300283	G102268	M0201-Mother:3 months
PRJNA475246	SAMN09382662	SRS3395902	SRX4184522	SRR7280880	EDIA301266	G102363	M0450-Mother:Birth
PRJNA475246	SAMN09382587	SRS3395901	SRX4184521	SRR7280881	EDIA301005	G102281	M0327-Child:3 months
PRJNA475246	SAMN09382588	SRS3395900	SRX4184520	SRR7280882	EDIA300221	G102274	M0327-Mother:Gest
PRJNA475246	SAMN09382661	SRS3395898	SRX4184519	SRR7280883	EDIA301265	G102364	M0450-Mother:3 months
PRJNA475246	SAMN09382455	SRS3395899	SRX4184518	SRR7280884	EDIA300034	G102204	M0018-Mother:Birth
PRJNA475246	SAMN09382456	SRS3395897	SRX4184517	SRR7280885	EDIA300083	G102205	M0018-Mother:3 months
PRJNA475246	SAMN09382514	SRS3395896	SRX4184516	SRR7280886	EDIA300107	G104691	M0143-Mother:Birth
PRJNA475246	SAMN09382513	SRS3395895	SRX4184515	SRR7280887	EDIA300104	G104692	M0143-Child:Birth
PRJNA475246	SAMN09382516	SRS3395894	SRX4184514	SRR7280888	EDIA300162	G104695	M0151-Child:Birth
PRJNA475246	SAMN09382515	SRS3395892	SRX4184513	SRR7280889	EDIA300063	G104690	M0143-Mother:Gest
PRJNA475246	SAMN09382510	SRS3395893	SRX4184512	SRR7280890	EDIA300093	G104689	M0108-Child:Birth
PRJNA475246	SAMN09382509	SRS3395891	SRX4184511	SRR7280891	EDIA300150	G102244	M0084-Mother:3 months
PRJNA475246	SAMN09382512	SRS3395890	SRX4184510	SRR7280892	EDIA300073	G104687	M0108-Mother:Gest
PRJNA475246	SAMN09382511	SRS3395888	SRX4184509	SRR7280893	EDIA300094	G104688	M0108-Mother:Birth
PRJNA475246	SAMN09382518	SRS3395889	SRX4184508	SRR7280894	EDIA300079	G104693	M0151-Mother:Gest
PRJNA475246	SAMN09382517	SRS3395887	SRX4184507	SRR7280895	EDIA300160	G104694	M0151-Mother:Birth
PRJNA475246	SAMN09382713	SRS3395886	SRX4184506	SRR7280896	EDIA301796	G104648	M0901-Child:1 month
PRJNA475246	SAMN09382708	SRS3395884	SRX4184505	SRR7280897	EDIA301430	G104673	M0808-Child:Birth
PRJNA475246	SAMN09382707	SRS3395885	SRX4184504	SRR7280898	EDIA301698	G104680	M0808-Child:3 months
PRJNA475246	SAMN09382574	SRS3395883	SRX4184503	SRR7280899	EDIA300471	G102323	M0297-Mother:Birth
PRJNA475246	SAMN09382573	SRS3395882	SRX4184502	SRR7280900	EDIA300182	G102322	M0297-Mother:Gest
PRJNA475246	SAMN09382576	SRS3395881	SRX4184501	SRR7280901	EDIA300312	G102333	M0305-Child:Birth
PRJNA475246	SAMN09382575	SRS3395878	SRX4184500	SRR7280902	EDIA300472	G102324	M0297-Mother:3 months
