study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	experiment_alias	sample_alias	sample_title
PRJNA475246	SAMN09382650	SRS3395760	SRX4184380	SRR7281022	EDIA301125	G102384	M0427-Child:2 months
PRJNA475246	SAMN09382651	SRS3395758	SRX4184379	SRR7281023	EDIA301126	G102385	M0427-Child:3 months
PRJNA475246	SAMN09382652	SRS3395757	SRX4184378	SRR7281024	EDIA300303	G102378	M0427-Mother:Gest
PRJNA475246	SAMN09382653	SRS3395793	SRX4184377	SRR7281025	EDIA300439	G102379	M0427-Mother:Birth
PRJNA475246	SAMN09382654	SRS3395756	SRX4184376	SRR7281026	EDIA301127	G102380	M0427-Mother:3 months
PRJNA475246	SAMN09382655	SRS3395755	SRX4184375	SRR7281027	EDIA301074	G102365	M0450-Child:Birth
PRJNA475246	SAMN09382656	SRS3395754	SRX4184374	SRR7281028	EDIA301261	G102366	M0450-Child:14 days
PRJNA475246	SAMN09382657	SRS3395753	SRX4184373	SRR7281029	EDIA301262	G102367	M0450-Child:1 month
PRJNA475246	SAMN09382658	SRS3395751	SRX4184372	SRR7281030	EDIA301263	G102368	M0450-Child:2 months
PRJNA475246	SAMN09382671	SRS3395752	SRX4184371	SRR7281031	EDIA301401	G104618	M0740-Child:1 month
PRJNA475246	SAMN09382547	SRS3395750	SRX4184370	SRR7281032	EDIA300248	G104710	M0240-Child:Birth
PRJNA475246	SAMN09382548	SRS3395748	SRX4184369	SRR7281033	EDIA300247	G104709	M0240-Mother:Birth
PRJNA475246	SAMN09382677	SRS3395749	SRX4184368	SRR7281034	EDIA301568	G104658	M0744-Child:3 months
PRJNA475246	SAMN09382467	SRS3395747	SRX4184367	SRR7281035	EDIA300095	G102213	M0038-Mother:3 months
PRJNA475246	SAMN09382468	SRS3395746	SRX4184366	SRR7281036	EDIA300053	G104686	M0053-Child:Birth
PRJNA475246	SAMN09382678	SRS3395745	SRX4184365	SRR7281037	EDIA301301	G104654	M0744-Child:Birth
PRJNA475246	SAMN09382463	SRS3395744	SRX4184364	SRR7281038	EDIA300098	G102217	M0038-Child:2 months
PRJNA475246	SAMN09382464	SRS3395743	SRX4184363	SRR7281039	EDIA300099	G102218	M0038-Child:3 months
PRJNA475246	SAMN09382465	SRS3395742	SRX4184362	SRR7281040	EDIA300021	G102211	M0038-Mother:Gest
PRJNA475246	SAMN09382466	SRS3395741	SRX4184361	SRR7281041	EDIA300047	G102212	M0038-Mother:Birth
PRJNA475246	SAMN09382459	SRS3395739	SRX4184360	SRR7281042	EDIA300013	G104681	M0024-Mother:Gest
PRJNA475246	SAMN09382460	SRS3395740	SRX4184359	SRR7281043	EDIA300045	G102214	M0038-Child:Birth
PRJNA475246	SAMN09382461	SRS3395737	SRX4184358	SRR7281044	EDIA300096	G102215	M0038-Child:14 days
PRJNA475246	SAMN09382462	SRS3395738	SRX4184357	SRR7281045	EDIA300097	G102216	M0038-Child:1 month
PRJNA475246	SAMN09382452	SRS3396022	SRX4184642	SRR7281046	EDIA300084	G102209	M0018-Child:2 months
PRJNA475246	SAMN09382458	SRS3396020	SRX4184641	SRR7281047	EDIA300046	G104682	M0024-Mother:Birth
PRJNA475246	SAMN09382536	SRS3396019	SRX4184640	SRR7281048	EDIA300188	G104707	M0210-Child:Birth
PRJNA475246	SAMN09382643	SRS3396021	SRX4184639	SRR7281049	EDIA301091	G102377	M0402-Child:3 months
PRJNA475246	SAMN09382644	SRS3396016	SRX4184638	SRR7281050	EDIA300290	G102370	M0402-Mother:Gest
PRJNA475246	SAMN09382645	SRS3396017	SRX4184637	SRR7281051	EDIA301086	G102371	M0402-Mother:Birth
PRJNA475246	SAMN09382646	SRS3396014	SRX4184636	SRR7281052	EDIA301087	G102372	M0402-Mother:3 months
PRJNA475246	SAMN09382639	SRS3396012	SRX4184635	SRR7281053	EDIA300427	G102373	M0402-Child:Birth
PRJNA475246	SAMN09382640	SRS3396015	SRX4184634	SRR7281054	EDIA301088	G102374	M0402-Child:14 days
PRJNA475246	SAMN09382641	SRS3396018	SRX4184633	SRR7281055	EDIA301089	G102375	M0402-Child:1 month
PRJNA475246	SAMN09382642	SRS3396013	SRX4184632	SRR7281056	EDIA301090	G102376	M0402-Child:2 months
PRJNA475246	SAMN09382449	SRS3396008	SRX4184631	SRR7281057	EDIA300033	G102206	M0018-Child:Birth
PRJNA475246	SAMN09382450	SRS3396009	SRX4184630	SRR7281058	EDIA300081	G102208	M0018-Child:1 month
PRJNA475246	SAMN09382451	SRS3396010	SRX4184629	SRR7281059	EDIA300082	G102207	M0018-Child:14 days
PRJNA475246	SAMN09382663	SRS3396011	SRX4184628	SRR7281060	EDIA300458	G102317	M0487-Child:Birth
PRJNA475246	SAMN09382647	SRS3396005	SRX4184627	SRR7281061	EDIA300432	G102381	M0427-Child:Birth
PRJNA475246	SAMN09382648	SRS3396004	SRX4184626	SRR7281062	EDIA301123	G102382	M0427-Child:14 days
PRJNA475246	SAMN09382660	SRS3396007	SRX4184625	SRR7281063	EDIA300429	G102362	M0450-Mother:Gest
PRJNA475246	SAMN09382659	SRS3396006	SRX4184624	SRR7281064	EDIA301264	G102369	M0450-Child:3 months
PRJNA475246	SAMN09382669	SRS3396002	SRX4184623	SRR7281065	EDIA301173	G102315	M0487-Mother:Birth
PRJNA475246	SAMN09382567	SRS3396001	SRX4184622	SRR7281066	EDIA300191	G104711	M0275-Mother:Gest
PRJNA475246	SAMN09382568	SRS3396003	SRX4184621	SRR7281067	EDIA300308	G102325	M0297-Child:Birth
PRJNA475246	SAMN09382670	SRS3395997	SRX4184620	SRR7281068	EDIA301174	G102316	M0487-Mother:3 months
PRJNA475246	SAMN09382563	SRS3395998	SRX4184619	SRR7281069	EDIA300165	G102258	M0261-Mother:Gest
PRJNA475246	SAMN09382564	SRS3396000	SRX4184618	SRR7281070	EDIA300381	G102259	M0261-Mother:Birth
PRJNA475246	SAMN09382565	SRS3395995	SRX4184617	SRR7281071	EDIA301068	G102260	M0261-Mother:3 months
PRJNA475246	SAMN09382566	SRS3395999	SRX4184616	SRR7281072	EDIA300261	G104712	M0275-Mother:Birth
PRJNA475246	SAMN09382559	SRS3395996	SRX4184615	SRR7281073	EDIA300378	G102262	M0261-Child:14 days
PRJNA475246	SAMN09382560	SRS3395994	SRX4184614	SRR7281074	EDIA300379	G102263	M0261-Child:1 month
PRJNA475246	SAMN09382561	SRS3395993	SRX4184613	SRR7281075	EDIA300380	G102264	M0261-Child:2 months
PRJNA475246	SAMN09382562	SRS3395992	SRX4184612	SRR7281076	EDIA301065	G102265	M0261-Child:3 months
